Day fraction since midnight on 	pH probe (pH)
0.618619208	3.812380314
0.618630787	3.826779842
0.618642343	3.848745823
0.618653922	3.853117466
0.618665501	3.884492159
0.61867708	3.833269596
0.618688659	3.88346529
0.618700226	3.86383462
0.618711793	3.92848444
0.618723384	3.794734478
0.618734963	3.839718103
0.61874653	3.794776917
0.618758098	3.819216728
0.618769676	3.82449317
0.618781255	3.827672243
0.618792823	3.810763836
0.61880439	3.906438112
0.618815981	3.961620331
0.618827536	3.88069129
0.618839127	3.891655684
0.618850694	3.831650496
0.618862262	3.876766205
0.618873852	3.861840725
0.618885419	3.810842514
0.618896987	3.7939713
0.618908577	3.88757062
0.618920145	3.828574419
0.618931712	3.833530903
0.618943279	3.853614569
0.618954858	3.865172625
0.618966449	3.859574556
0.618978016	3.841701746
0.618989583	3.785389185
0.619001151	3.783875465
0.619012741	3.804035425
0.619024309	3.808863401
0.619035876	3.808577299
0.619047455	3.808128357
0.619059045	3.82053113
0.619070601	3.837074041
0.619082192	3.800554991
0.619093747	3.823766232
0.619105338	3.79078126
0.619116905	3.872676849
0.619128473	3.848490715
0.619140051	3.826043367
0.61915163	3.810059309
0.619163175	3.846362829
0.619174788	3.811095476
0.619186356	3.76954484
0.619197923	3.778666258
0.619209525	3.801026344
0.619221081	3.825702906
0.619232648	3.824213266
0.61924425	3.737758398
0.619255794	3.778018475
0.619267373	3.862229824
0.61927894	3.811726093
0.619290519	3.782800198
0.619302109	3.770602226
0.619313676	3.754364967
0.619325255	3.798142195
0.619336822	3.775763989
0.619348401	3.753340483
0.619359991	3.754508734
0.619371535	3.747657538
0.619383126	3.759352684
0.619394693	3.729997158
0.61940626	3.763945103
0.619417839	3.757421732
0.619429406	3.768734217
0.619440985	3.719768286
0.619452575	3.722181797
0.619464143	3.756451845
0.61947571	3.853613615
0.6194873	3.804218054
0.619498856	3.700958252
0.619510435	3.738358259
0.619522002	3.824449301
0.619533592	3.81331563
0.619545171	3.745151997
0.619556738	3.709612131
0.619568317	3.795089245
0.619579907	3.762383699
0.619591451	3.756254673
0.619603053	3.736309052
0.619614597	3.754428864
0.619626176	3.853271723
0.619637767	3.825536013
0.619649322	3.7129035
0.619660913	3.703874111
0.61967248	3.765408754
0.619684059	3.762123823
0.619695626	3.722465754
0.619707205	3.686250925
0.619718772	3.719750166
0.619730351	3.758903265
0.619741918	3.757778645
0.619753508	3.703050613
0.619765075	3.697515726
0.619776643	3.718995571
0.619788221	3.764276266
0.619799789	3.688260078
0.619811379	3.718406916
0.619822969	3.698265553
0.619834525	3.755291462
0.619846104	3.677954197
0.619857671	3.725942373
0.619869238	3.667661667
0.619880829	3.738688707
0.619892384	3.745453119
0.619903975	3.699053049
0.619915553	3.687198877
0.619927121	3.754018545
0.619938688	3.729319572
0.619950255	3.68761754
0.619980943	3.735801697
0.619984991	3.73760128
0.619996559	3.699220896
0.620008149	3.688312769
0.620019705	3.888092518
0.620031295	3.765729427
0.620042862	3.72669673
0.620054441	3.750236034
0.620066008	3.71098876
0.620077575	3.708330631
0.620089166	3.691913843
0.620100721	3.685771227
0.6201123	3.676992178
0.620123879	3.742493153
0.620135446	3.695034266
0.620147025	3.746832848
0.620158627	3.663416386
0.620170183	3.666383505
0.620181761	3.68269968
0.620193317	3.695019245
0.620204907	3.643809557
0.620216486	3.646126509
0.620228053	3.619132757
0.620239621	3.782327652
0.620251211	3.705927372
0.620262778	3.663740873
0.620274345	3.670268536
0.620285924	3.695379973
0.620297491	3.661473513
0.62030907	3.655219078
0.620320637	3.635027885
0.620332216	3.69750452
0.620343807	3.689232588
0.620355374	3.673615456
0.620366941	3.621755362
0.620378508	3.635777473
0.620390087	3.802031755
0.620401677	3.722997904
0.620413245	3.659070969
0.620424812	3.665813208
0.620436379	3.7270329
0.620447969	3.701571465
0.620459548	3.657561541
0.620471115	3.613506317
0.620482694	3.688806057
0.620494261	3.727298021
0.62050584	3.679191351
0.620517407	3.684482098
0.620528975	3.66905117
0.620540565	3.697912693
0.620552144	3.654514074
0.620563699	3.616275787
0.620575278	3.663249731
0.620586869	3.642906189
0.620598436	3.66851759
0.620610015	3.611092329
0.620621582	3.675806999
0.620633161	3.619993925
0.620644728	3.693599939
0.620656295	3.620529175
0.620667874	3.674572229
0.620679476	3.626251698
0.62069102	3.793602228
0.620702599	3.654536486
0.620714201	3.728313685
0.620725756	3.646196842
0.620737335	3.736702681
0.620748891	3.629821062
0.620760469	3.673045874
0.620772037	3.633377075
0.620783627	3.637001038
0.620795194	3.716362953
0.620806761	3.658210278
0.62081834	3.584445953
0.620829942	3.594829083
0.620841486	3.740294457
0.620853065	3.732917547
0.620864644	3.558276653
0.620876211	3.617544651
0.620887801	3.668599606
0.620899357	3.623782158
0.620910947	3.6269629
0.620922526	3.569585085
0.620934093	3.682043076
0.620945661	3.66053915
0.620957228	3.647595882
0.620968818	3.635679483
0.620980385	3.610249519
0.620991964	3.611351728
0.621003531	3.662405014
0.621015122	3.634313822
0.621026689	3.618690252
0.621038256	3.618189573
0.621049835	3.699187994
0.621061414	3.633252859
0.621072993	3.561123848
0.621084548	3.058029175
0.621096139	3.624316454
0.621107694	3.618731737
0.621119296	3.548166275
0.621130863	3.565926075
0.621142431	3.619497061
0.621153998	3.639933109
0.621165588	3.634120464
0.621177144	3.607062101
0.621188734	3.582334995
0.621200301	3.647835255
0.621211869	3.672733307
0.621223459	3.591156006
0.621235026	3.621160507
